Sr No,Symbol,Company Name,"Market capitalization as on March 31, 2022
(Rs in Lakhs)",,,,,,
1,RELIANCE,Reliance Industries Limited,178237576,,,,,,
2,TCS,Tata Consultancy Services Limited,138342672,,,,,,
3,HDFCBANK,HDFC Bank Limited,81525796,,,,,,
4,INFY,Infosys Limited,80216196,,,,,,
5,ICICIBANK,ICICI Bank Limited,50744643,,,,,,
6,HINDUNILVR,Hindustan Unilever Limited,48134901,,,,,,
7,SBIN,State Bank of India,44047420,,,,,,
8,BAJFINANCE,Bajaj Finance Limited,43953860,,,,,,
9,HDFC,Housing Development Finance Corporation Limited,43247739,,,,,,
10,BHARTIARTL,Bharti Airtel Limited,41462060,,,,,,
11,KOTAKBANK,Kotak Mahindra Bank Limited,34802939,,,,,,
12,WIPRO,Wipro Limited,32448373,,,,,,
13,HCLTECH,HCL Technologies Limited,31580278,,,,,,
14,ITC,ITC Limited,30888241,,,,,,
15,ADANIGREEN,Adani Green Energy Limited,29946181,,,,,,
16,ASIANPAINT,Asian Paints Limited,29542812,,,,,,
17,BAJAJFINSV,Bajaj Finserv Limited,27149564,,,,,,
18,ADANITRANS,Adani Transmission Limited,26045152,,,,,,
19,DMART,Avenue Supermarts Limited,25932688,,,,,,
20,LT,Larsen & Toubro Limited,24834879,,,,,,
21,ATGL,Adani Total Gas Limited,23643717,,,,,,
22,AXISBANK,Axis Bank Limited,23364339,,,,,,
23,MARUTI,Maruti Suzuki India Limited,22841180,,,,,,
24,TITAN,Titan Company Limited,22515589,,,,,,
25,ADANIENT,Adani Enterprises Limited,22158424,,,,,,
26,SUNPHARMA,Sun Pharmaceutical Industries Limited,21947917,,,,,,
27,ONGC,Oil & Natural Gas Corporation Limited,20619078,,,,,,
28,ULTRACEMCO,UltraTech Cement Limited,19058645,,,,,,
29,JSWSTEEL,JSW Steel Limited,17709766,,,,,,
30,ADANIPORTS,Adani Ports and Special Economic Zone Limited,16353994,,,,,,
31,TATASTEEL,Tata Steel Limited,15975539,,,,,,
32,POWERGRID,Power Grid Corporation of India Limited,15122782,,,,,,
33,VEDL,Vedanta Limited,14993322,,,,,,
34,TECHM,Tech Mahindra Limited,14565340,,,,,,
35,TATAMOTORS,Tata Motors Limited,14403371,,,,,,
36,HINDZINC,Hindustan Zinc Limited,13104827,,,,,,
37,NTPC,NTPC Limited,13090499,,,,,,
38,HINDALCO,Hindalco Industries Limited,12797649,,,,,,
39,PIDILITIND,Pidilite Industries Limited,12474923,,,,,,
40,DIVISLAB,Divi's Laboratories Limited,11686060,,,,,,
41,HDFCLIFE,HDFC Life Insurance Company Limited,11369597,,,,,,
42,COALINDIA,Coal India Limited,11280874,,,,,,
43,SBILIFE,SBI Life Insurance Company Limited,11218656,,,,,,
44,IOC,Indian Oil Corporation Limited,11198142,,,,,,
45,GRASIM,Grasim Industries Limited,10954036,,,,,,
46,LTI,Larsen & Toubro Infotech Limited,10788579,,,,,,
47,BAJAJ-AUTO,Bajaj Auto Limited,10570577,,,,,,
48,M&M,Mahindra & Mahindra Limited,10026969,,,,,,
49,DABUR,Dabur India Limited,9479246,,,,,,
50,DLF,DLF Limited,9417336,,,,,,
51,SHREECEM,SHREE CEMENT LIMITED,8671142,,,,,,
52,SIEMENS,Siemens Limited,8433640,,,,,,
53,CIPLA,Cipla Limited,8213770,,,,,,
54,SBICARD,SBI Cards and Payment Services Limited,8032764,,,,,,
55,NYKAA,FSN E-Commerce Ventures Limited,8010239,,,,,,
56,SRF,SRF Limited,7942157,,,,,,
57,BPCL,Bharat Petroleum Corporation Limited,7795210,,,,,,
58,INDIGO,InterGlobe Aviation Limited,7759608,,,,,,
59,BRITANNIA,Britannia Industries Limited,7723201,,,,,,
60,GODREJCP,Godrej Consumer Products Limited,7641748,,,,,,
61,TATAPOWER,Tata Power Company Limited,7625678,,,,,,
62,INDUSINDBK,IndusInd Bank Limited,7246095,,,,,,
63,HAVELLS,Havells India Limited,7218456,,,,,,
64,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,7199466,,,,,,
65,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7164143,,,,,,
66,DRREDDY,Dr. Reddy's Laboratories Limited,7148739,,,,,,
67,ADANIPOWER,Adani Power Limited,7139194,,,,,,
68,MINDTREE,MindTree Limited,7092632,,,,,,
69,GAIL,GAIL (India) Limited,6911460,,,,,,
70,BERGEPAINT,Berger Paints (I) Limited,6796350,,,,,,
71,EICHERMOT,Eicher Motors Limited,6718416,,,,,,
72,AWL,Adani Wilmar Limited,6718039,,,,,,
73,ICICIGI,ICICI Lombard General Insurance Company Limited,6520511,,,,,,
74,MARICO,Marico Limited,6511578,,,,,,
75,APOLLOHOSP,Apollo Hospitals Enterprise Limited,6493459,,,,,,
76,ZOMATO,Zomato Limited,6478601,,,,,,
77,MCDOWELL-N,United Spirits Limited,6455095,,,,,,
78,MPHASIS,MphasiS Limited,6342323,,,,,,
79,IRCTC,Indian Railway Catering And Tourism Corporation Limited,6197600,,,,,,
80,INDUSTOWER,Indus Towers Limited,5984107,,,,,,
81,AMBUJACEM,Ambuja Cements Limited,5942043,,,,,,
82,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,5898441,,,,,,
83,UPL,UPL Limited,5880094,,,,,,
84,NAUKRI,Info Edge (India) Limited,5807455,,,,,,
85,BANKBARODA,Bank of Baroda,5771240,,,,,,
86,BAJAJHLDNG,Bajaj Holdings & Investment Limited,5576973,,,,,,
87,TATAELXSI,Tata Elxsi Limited,5505331,,,,,,
88,JINDALSTEL,Jindal Steel & Power Limited,5435539,,,,,,
89,LODHA,Macrotech Developers Limited,5422725,,,,,,
90,LTTS,L&T Technology Services Limited,5387734,,,,,,
91,GLAND,Gland Pharma Limited,5377053,,,,,,
92,MUTHOOTFIN,Muthoot Finance Limited,5341695,,,,,,
93,PEL,Piramal Enterprises Limited,5219336,,,,,,
94,BEL,Bharat Electronics Limited,5136338,,,,,,
95,JSWENERGY,JSW Energy Limited,4968264,,,,,,
96,HAL,Hindustan Aeronautics Limited,4965320,,,,,,
97,BANDHANBNK,Bandhan Bank Limited,4951472,,,,,,
98,PAGEIND,Page Industries Limited,4817286,,,,,,
99,NMDC,NMDC Limited,4763700,,,,,,
100,TORNTPHARM,Torrent Pharmaceuticals Limited,4724614,,,,,,
101,PGHH,Procter & Gamble Hygiene and Health Care Limited,4679410,,,,,,
102,GODREJPROP,Godrej Properties Limited,4648516,,,,,,
103,IDBI,IDBI Bank Limited,4602028,,,,,,
104,HEROMOTOCO,Hero MotoCorp Limited,4583986,,,,,,
105,HDFCAMC,HDFC Asset Management Company Limited,4576672,,,,,,
106,ABB,ABB India Limited,4572877,,,,,,
107,TRENT,Trent Limited,4534243,,,,,,
109,ALKEM,Alkem Laboratories Limited,4329090,,,,,,
110,PIIND,PI Industries Limited,4277920,,,,,,
111,BOSCHLTD,Bosch Limited,4258439,,,,,,
112,COLPAL,Colgate Palmolive (India) Limited,4194698,,,,,,
113,CANBK,Canara Bank,4131682,,,,,,
114,BALKRISIND,Balkrishna Industries Limited,4129642,,,,,,
115,VOLTAS,Voltas Limited,4120839,,,,,,
116,CONCOR,Container Corporation of India Limited,4095372,,,,,,
117,STARHEALTH,Star Health and Allied Insurance Company Limited,4088797,,,,,,
