"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"XELPMOC",142,167.2,139.35,139.35,167.2,19.99,389324,63673940.2,"-"
"TPLPLASTEH",187.9,207.2,182.1,172.7,207.2,19.98,615496,122397534.56,"20-Sep-2022"
"WEIZMANIND",75.2,88.5,74.1,73.75,87,17.97,119851,10411456.37,"20-Jul-2022"
"NDGL",1242.1,1480,1242.1,1248.9,1450,16.1,1730,2363543.3,"22-Aug-2022"
"EVERESTIND",697,806.95,697,698.25,801.05,14.72,683058,527061213.96,"17-Aug-2022"
"ONEPOINT",11.65,13.4,11.5,11.35,13,14.54,4067589,52309194.54,"08-Sep-2022"
"JSWENERGY",300,334.2,298.15,293.25,331.95,13.2,10887764,3519687468.28,"30-May-2022"
"GREENLAM",299.95,344.8,295,295.7,329.7,11.5,375105,123818409.45,"07-Jul-2022"
"HEG",1074.1,1195,1074.05,1068.75,1184,10.78,1366259,1594765817.75,"24-Aug-2022"
"GAYAPROJ",10.2,11.4,10.2,9.8,10.85,10.71,13464314,147164952.02,"15-Sep-2021"
"JPASSOCIAT",8.55,9.5,8.55,8.55,9.45,10.53,24933334,226644006.06,"20-Sep-2022"
"HCC",13.45,14.9,13.35,13.35,14.75,10.49,36504317,523836948.95,"21-Sep-2022"
"ASHIMASYN",15.1,17.4,14.85,14.9,16.45,10.4,785502,12897942.84,"11-Aug-2022"
"GOKEX",366.5,412.5,363.8,370.5,408,10.12,1627833,643384714.92,"21-Sep-2022"
"MURUDCERA",33.35,37.4,32.45,32.85,36.15,10.05,1172575,41438800.5,"13-Sep-2022"
"APOLSINHOT",1314,1387.8,1290,1261.65,1387.8,10,28443,38799665.16,"21-Sep-2022"
"BUTTERFLY",1660.05,1816.9,1658,1651.75,1814,9.82,77264,138436226.72,"02-Nov-2021"
"RVHL",20.35,23,20.35,20.95,23,9.79,166642,3766109.2,"20-Sep-2022"
"INDTERRAIN",65.4,73,65.4,65.35,71.7,9.72,1415896,100939225.84,"01-Sep-2022"
"VIJIFIN",2.85,2.85,2.75,2.6,2.85,9.62,173425,492527,"19-Sep-2022"
