Symbol,Open,High,Low,Prev. Close,LTP,%chng,Volume,Value,CA 
BHARATGEAR,143,167.3,143,209.15,167.3,19.97,1154809,187448596.9,27-Sep-22
SILLYMONKS,27.25,29.75,26,24.8,29.75,19.96,230315,6547855.45,15-Feb-21
HCC,13,14.6,12.85,12.2,14.6,19.67,85472842,1200893430,21-Sep-22
LIBERTSHOE,221.2,253,215,215.8,252.4,16.96,2257201,540215915.3,22-Sep-22
JTEKTINDIA,91.05,107.6,90.2,91.05,104,14.22,4141776,423289507.2,11-Aug-22
SEPC,8.4,9.25,8.15,8.1,9.2,13.58,1586239,13784416.91,21-Sep-21
PRUDENT,600,679.55,600,595.8,671.7,12.74,184565,121340413.6,15-Sep-22
FILATEX,100.95,110.5,98.65,97.55,109.25,11.99,1480048,155760251.5,19-Sep-22
SBCL,574,639,568.25,566.2,631,11.44,181386,112297886.5,19-Sep-22
GUJAPOLLO,199.8,229.9,196,194.85,216.35,11.03,149652,32872558.32,20-Sep-22
ARCHIDPLY,76.95,87.5,76.6,76.95,84.9,10.33,268328,22303423.36,23-Sep-22
ARVINDFASN,295.9,332.85,292.65,296.9,326.6,10,841672,265564349.4,16-Sep-22
AIROLAM,95.3,105.25,95.3,95.7,105.25,9.98,262636,27138177.88,19-Sep-22
RENUKA,54.8,59.9,54.55,54.35,59.7,9.84,62467020,3586231618,23-Sep-19
PRAKASHSTL,5.2,5.6,5.15,5.1,5.6,9.8,1001141,5446207.04,21-Sep-22
STCINDIA,79.15,92.35,78.1,77.65,85,9.47,354372,31099686.72,21-Sep-22
SRHHYPOLTD,794.9,829.1,762.1,762.1,827,8.52,51481,40846055.02,21-Sep-22
RAJRATAN,1145,1252.75,1129,1144.95,1242,8.48,166939,198854398,13-Jun-22
MARALOVER,63,68.2,62.3,62.75,67.95,8.29,36046,2359931.62,17-Aug-22
ASTERDM,231.5,254.8,231.5,230.6,249.7,8.28,3170998,778511719,23-Jan-20
