"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"LIBAS-RE",1.4,1.9,1.4,1.4,1.7,21.43,110064,186008.16,"-"
"PRICOLLTD",165.5,195.6,165.35,163,192.9,18.34,4954780,911580424.4,"24-Nov-2020"
"APOLSINHOT",1024.4,1183,1024.4,987.15,1161.25,17.64,91463,104870561.17,"21-Sep-2022"
"SPARC",203,238.8,203,201.2,228.4,13.52,8011409,1806893185.86,"21-Sep-2021"
"IVC",8.3,9.5,8.2,7.95,9,13.21,3368429,30753756.77,"29-Aug-2022"
"APOLLO",161.85,183,160,158.6,178.5,12.55,1406643,248469419.52,"08-Sep-2022"
"MARINE",31,34.5,30.4,29.6,33,11.49,821669,27213677.28,"09-Sep-2022"
"JTLINFRA",245,274.7,235,242.35,270,11.41,3856304,946761195.04,"22-Sep-2022"
"CENTENKA",457.7,489.95,454.75,428.2,476,11.16,2901671,1382385081.11,"05-Aug-2022"
"OSWALAGRO",38.35,44.85,36.7,37.9,41.8,10.29,468558,19660693.68,"20-Sep-2022"
"AURIONPRO",418.75,450,413.1,408.15,449.8,10.2,439158,192935284.14,"16-Sep-2022"
"WEALTH",261.95,280.7,255,255.2,280.7,9.99,2231,601187.57,"20-Sep-2022"
"DISHTV",16.8,18.05,16.45,16.45,17.95,9.12,48732124,853299491.24,"05-Nov-2018"
"RML",366.7,408,349.35,357.4,390,9.12,347744,132549580.48,"12-Jul-2021"
"CHEMCON",439.4,465.75,435.05,416.95,451.8,8.36,1879472,857302358.08,"22-Aug-2022"
"MAZDOCK",438.7,465,433.05,428.75,464,8.22,4404782,2003999618.72,"19-Sep-2022"
"AIROLAM",106.25,116,104.5,106.25,114.95,8.19,251142,27685894.08,"19-Sep-2022"
"SUVENPHAR",428.5,466.5,424,426.25,459.95,7.91,610190,274109551.8,"09-Sep-2022"
"VISESHINFO",0.65,0.7,0.65,0.65,0.7,7.69,5396232,3561513.12,"22-Sep-2022"
"RITES",306,330.6,302.8,301.8,324.75,7.6,4119803,1325011040.86,"08-Sep-2022"
