"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"AKSHAR",74.2,79.9,73.1,91.35,73.1,-19.98,199521,14896237.86,"21-Sep-2022"
"GAYAHWS",0.7,0.8,0.7,0.75,0.7,-6.67,105869,77284.37,"21-Sep-2022"
"WEALTH",259.85,272.95,258.7,280.35,262.5,-6.37,510,135374.4,"20-Sep-2022"
"GPPL",92.65,92.65,86.65,92.15,87.05,-5.53,2987354,262946899.08,"26-Jul-2022"
"RML",392.85,392.85,371,396.6,375.55,-5.31,69524,26396872.32,"12-Jul-2021"
"GODHA",2.95,3,2.85,3,2.85,-5,3687876,10621082.88,"16-Sep-2022"
"TRF",276.15,276.15,276.15,290.65,276.15,-4.99,2677,739253.55,"13-Aug-2020"
"IGL",419.95,420.9,390,419.95,399,-4.99,6533091,2601868821.66,"15-Sep-2022"
"SOFTTECH",169.3,169.3,169.3,178.2,169.3,-4.99,123,20823.9,"-"
"SUBCAPCITY",112.55,112.55,112.55,118.45,112.55,-4.98,456,51322.8,"23-Sep-2022"
"PALREDTEC",155.05,155.9,147.9,155.65,147.9,-4.98,20981,3152185.44,"15-Sep-2022"
"JPOLYINVST",416.8,416.8,383.35,403.5,383.4,-4.98,19505,7627625.3,"21-Sep-2022"
"SPARC",228,229,218.5,231.1,219.65,-4.95,2054034,458768493.9,"21-Sep-2021"
"JETFREIGHT",22.7,23.3,21.15,22.25,21.15,-4.94,346221,7481835.81,"19-May-2022"
"KRITIKA",21.25,21.25,21.25,22.35,21.25,-4.92,162643,3456163.75,"30-Aug-2022"
"PVP",8.7,9.05,8.7,9.15,8.7,-4.92,1737096,15112735.2,"22-Sep-2022"
"PENINLAND",13.35,13.35,12.6,13.25,12.6,-4.91,215472,2738649.12,"21-Sep-2022"
"REGENCERAM",43.8,43.8,39.7,41.75,39.7,-4.91,97151,4090057.1,"21-Sep-2022"
"CYBERMEDIA",22.7,22.7,22.7,23.85,22.7,-4.82,4721,107166.7,"23-Sep-2022"
"DNAMEDIA",4.35,4.35,4,4.2,4,-4.76,157301,630777.01,"-"
