Date,Stock,Combined Factor
2022-09-29,AKSHAR.NS,"Red Histogram, Price Below 200 EMA, MACD Expanding Below, EMA Decreasing"
2022-09-29,GAYAHWS.NS,"Green Histogram, Price Below 200 EMA, MACD Expanding Above, EMA Decreasing"
2022-09-29,WEALTH.NS,"Green Histogram, Price Above 200 EMA, MACD Parallel Below, EMA Increasing"
2022-09-29,GPPL.NS,"Red Histogram, Price Above 200 EMA, MACD Parallel Above, EMA Increasing"
2022-09-29,RML.NS,"Green Histogram, Price Above 200 EMA, MACD Expanding Above, EMA Increasing"
2022-09-29,GODHA.NS,"Green Histogram, Price Below 200 EMA, MACD Expanding Below, EMA Decreasing"
2022-09-29,TRF.NS,"Green Histogram, Price Below 200 EMA, MACD Intersecting Below, EMA Decreasing"
2022-09-29,IGL.NS,"Green Histogram, Price Above 200 EMA, MACD Expanding Below, EMA Increasing"
2022-09-29,SUBCAPCITY.NS,"Green Histogram, Price Below 200 EMA, MACD Expanding Below, EMA Increasing"
2022-09-29,PALREDTEC.NS,"Red Histogram, Price Above 200 EMA, MACD Intersecting Below, EMA Increasing"
2022-09-29,JPOLYINVST.NS,"Green Histogram, Price Below 200 EMA, MACD Parallel Below, EMA Decreasing"
2022-09-29,SPARC.NS,"Green Histogram, Price Above 200 EMA, MACD Expanding Above, EMA Increasing"
2022-09-29,JETFREIGHT.NS,"Red Histogram, Price Above 200 EMA, MACD Intersecting Above, EMA Increasing"
2022-09-29,KRITIKA.NS,"Green Histogram, Price Below 200 EMA, MACD Intersecting Below, EMA Decreasing"
2022-09-29,PVP.NS,"Green Histogram, Price Below 200 EMA, MACD Intersecting Below, EMA Decreasing"
2022-09-29,PENINLAND.NS,"Red Histogram, Price Below 200 EMA, MACD Expanding Below, EMA Decreasing"
2022-09-29,CYBERMEDIA.NS,"Red Histogram, Price Above 200 EMA, MACD Intersecting Below, EMA Increasing"
2022-09-29,DNAMEDIA.NS,"Red Histogram, Price Above 200 EMA, MACD Intersecting Above, EMA Increasing"
