Date,Stock,Factor 1,Factor 2,Factor 3,Factor 4
2022-09-29,RELIANCE.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,TCS.NS,Red Histogram,Price Below 200 EMA,MACD Intersecting Below,EMA Decreasing
2022-09-29,HDFCBANK.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,INFY.NS,Green Histogram,Price Above 200 EMA,MACD Intersecting Above,EMA Decreasing
2022-09-29,ICICIBANK.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,HINDUNILVR.NS,Red Histogram,Price Above 200 EMA,MACD Intersecting Above,EMA Increasing
2022-09-29,SBIN.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,BAJFINANCE.NS,Red Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,HDFC.NS,Red Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,BHARTIARTL.NS,Red Histogram,Price Below 200 EMA,MACD Intersecting Below,EMA Decreasing
2022-09-29,KOTAKBANK.NS,Green Histogram,Price Below 200 EMA,MACD Intersecting Below,EMA Decreasing
2022-09-29,WIPRO.NS,Red Histogram,Price Below 200 EMA,MACD Intersecting Below,EMA Decreasing
2022-09-29,HCLTECH.NS,Red Histogram,Price Above 200 EMA,MACD Intersecting Below,EMA Increasing
2022-09-29,ITC.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Above,EMA Decreasing
2022-09-29,ADANIGREEN.NS,Red Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,ASIANPAINT.NS,Red Histogram,Price Below 200 EMA,MACD Intersecting Below,EMA Decreasing
2022-09-29,BAJAJFINSV.NS,Red Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,ADANITRANS.NS,Red Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,DMART.NS,Red Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,LT.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,ATGL.NS,Red Histogram,Price Below 200 EMA,MACD Expanding Above,EMA Decreasing
2022-09-29,AXISBANK.NS,Green Histogram,Price Below 200 EMA,MACD Intersecting Below,EMA Decreasing
2022-09-29,MARUTI.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,TITAN.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,ADANIENT.NS,Red Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,SUNPHARMA.NS,Red Histogram,Price Above 200 EMA,MACD Parallel Above,EMA Increasing
2022-09-29,ONGC.NS,Red Histogram,Price Above 200 EMA,MACD Parallel Above,EMA Decreasing
2022-09-29,ULTRACEMCO.NS,Green Histogram,Price Below 200 EMA,MACD Intersecting Below,EMA Decreasing
2022-09-29,JSWSTEEL.NS,Green Histogram,Price Below 200 EMA,MACD Intersecting Below,EMA Decreasing
2022-09-29,ADANIPORTS.NS,Red Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,TATASTEEL.NS,Green Histogram,Price Below 200 EMA,MACD Intersecting Below,EMA Decreasing
2022-09-29,POWERGRID.NS,Red Histogram,Price Below 200 EMA,MACD Parallel Above,EMA Decreasing
2022-09-29,VEDL.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,TECHM.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,TATAMOTORS.NS,Red Histogram,Price Below 200 EMA,MACD Intersecting Below,EMA Decreasing
2022-09-29,HINDZINC.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,NTPC.NS,Red Histogram,Price Below 200 EMA,MACD Intersecting Above,EMA Decreasing
2022-09-29,HINDALCO.NS,Red Histogram,Price Below 200 EMA,MACD Expanding Above,EMA Decreasing
2022-09-29,PIDILITIND.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,DIVISLAB.NS,Red Histogram,Price Above 200 EMA,MACD Expanding Above,EMA Increasing
2022-09-29,HDFCLIFE.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Above,EMA Decreasing
2022-09-29,COALINDIA.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,SBILIFE.NS,Red Histogram,Price Below 200 EMA,MACD Intersecting Below,EMA Decreasing
2022-09-29,IOC.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,GRASIM.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,LTI.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,BAJAJ-AUTO.NS,Red Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,M&M.NS,Red Histogram,Price Below 200 EMA,MACD Intersecting Above,EMA Decreasing
2022-09-29,DABUR.NS,Green Histogram,Price Above 200 EMA,MACD Parallel Above,EMA Increasing
2022-09-29,DLF.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,SHREECEM.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Above,EMA Decreasing
