Possibilities,Occurence
"Red Histogram, Price Below 200 EMA, MACD Expanding Below, EMA Decreasing",2
"Green Histogram, Price Below 200 EMA, MACD Expanding Above, EMA Decreasing",1
"Green Histogram, Price Above 200 EMA, MACD Parallel Below, EMA Increasing",1
"Red Histogram, Price Above 200 EMA, MACD Parallel Above, EMA Increasing",1
"Green Histogram, Price Above 200 EMA, MACD Expanding Above, EMA Increasing",2
"Green Histogram, Price Below 200 EMA, MACD Expanding Below, EMA Decreasing",1
"Green Histogram, Price Below 200 EMA, MACD Intersecting Below, EMA Decreasing",3
"Green Histogram, Price Above 200 EMA, MACD Expanding Below, EMA Increasing",1
"Green Histogram, Price Below 200 EMA, MACD Expanding Below, EMA Increasing",1
"Red Histogram, Price Above 200 EMA, MACD Intersecting Below, EMA Increasing",2
"Green Histogram, Price Below 200 EMA, MACD Parallel Below, EMA Decreasing",1
"Red Histogram, Price Above 200 EMA, MACD Intersecting Above, EMA Increasing",2
