Possibilities,Occurence
"Green Histogram, Price Below 200 EMA, MACD Parallel Below, EMA Decreasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Below 200 DEMA Intersecting, O2C Profit, Stochastic RSI Decreasing",1
"Red Histogram, Price Below 200 EMA, MACD Parallel Below, EMA Decreasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Below 200 DEMA Intersecting, O2C Loss, Stochastic RSI Increasing",1
"Green Histogram, Price Below 200 EMA, MACD Parallel Below, EMA Decreasing, Red Supertrend, Price Above 200 DEMA, 200 EMA Below 200 DEMA Expanding, O2C Profit, Stochastic RSI Decreasing",1
"Green Histogram, Price Above 200 EMA, MACD Parallel Below, EMA Increasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Below 200 DEMA Intersecting, O2C Profit, Stochastic RSI Decreasing",1
"Green Histogram, Price Below 200 EMA, MACD Intersecting Below, EMA Decreasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Above 200 DEMA Expanding, O2C Loss, Stochastic RSI Decreasing",7
"Green Histogram, Price Below 200 EMA, MACD Intersecting Below, EMA Decreasing, Red Supertrend, Price Above 200 DEMA, 200 EMA Below 200 DEMA Expanding, O2C Loss, Stochastic RSI Decreasing",1
"Green Histogram, Price Below 200 EMA, MACD Intersecting Below, EMA Decreasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Above 200 DEMA Expanding, O2C Profit, Stochastic RSI Decreasing",5
"Green Histogram, Price Below 200 EMA, MACD Parallel Below, EMA Decreasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Below 200 DEMA Intersecting, O2C Loss, Stochastic RSI Decreasing",1
"Green Histogram, Price Above 200 EMA, MACD Intersecting Below, EMA Increasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Below 200 DEMA Intersecting, O2C Loss, Stochastic RSI Decreasing",1
"Green Histogram, Price Above 200 EMA, MACD Intersecting Below, EMA Decreasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Below 200 DEMA Intersecting, O2C Profit, Stochastic RSI Decreasing",1
"Green Histogram, Price Below 200 EMA, MACD Parallel Below, EMA Decreasing, Red Supertrend, Price Above 200 DEMA, 200 EMA Below 200 DEMA Expanding, O2C Loss, Stochastic RSI Decreasing",1
"Red Histogram, Price Below 200 EMA, MACD Parallel Below, EMA Decreasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Below 200 DEMA Expanding, O2C Profit, Stochastic RSI Decreasing",1
"Green Histogram, Price Above 200 EMA, MACD Expanding Above, EMA Increasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Below 200 DEMA Expanding, O2C Loss, Stochastic RSI Increasing",1
"Green Histogram, Price Below 200 EMA, MACD Expanding Below, EMA Decreasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Above 200 DEMA Expanding, O2C Loss, Stochastic RSI Decreasing",1
"Red Histogram, Price Below 200 EMA, MACD Expanding Below, EMA Decreasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Below 200 DEMA Intersecting, O2C Loss, Stochastic RSI Decreasing",1
"Red Histogram, Price Below 200 EMA, MACD Expanding Above, EMA Decreasing, Green Supertrend, Price Below 200 DEMA, 200 EMA Above 200 DEMA Expanding, O2C Loss, Stochastic RSI Decreasing",1
