Date,Stock,Combined Factor
2022-09-30,RELIANCE.NS,"Red Histogram, Price Below 200 EMA, MACD Expanding Above, EMA Decreasing, Red Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,TCS.NS,"Green Histogram, Price Below 200 EMA, MACD Intersecting Below, EMA Decreasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,HDFCBANK.NS,"Red Histogram, Price Below 200 EMA, MACD Expanding Above, EMA Decreasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,INFY.NS,"Green Histogram, Price Above 200 EMA, MACD Intersecting Above, EMA Increasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,ICICIBANK.NS,"Green Histogram, Price Below 200 EMA, MACD Parallel Above, EMA Decreasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,HINDUNILVR.NS,"Green Histogram, Price Above 200 EMA, MACD Expanding Below, EMA Increasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Below 200 DEMA Intersecting"
2022-09-30,SBIN.NS,"Red Histogram, Price Below 200 EMA, MACD Expanding Above, EMA Decreasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Expanding"
2022-09-30,BAJFINANCE.NS,"Green Histogram, Price Above 200 EMA, MACD Intersecting Above, EMA Increasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,HDFC.NS,"Red Histogram, Price Below 200 EMA, MACD Expanding Above, EMA Decreasing, Red Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,BHARTIARTL.NS,"Green Histogram, Price Above 200 EMA, MACD Intersecting Above, EMA Increasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Below 200 DEMA Intersecting"
2022-09-30,KOTAKBANK.NS,"Red Histogram, Price Below 200 EMA, MACD Parallel Above, EMA Decreasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,WIPRO.NS,"Green Histogram, Price Below 200 EMA, MACD Intersecting Below, EMA Decreasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,HCLTECH.NS,"Green Histogram, Price Above 200 EMA, MACD Intersecting Above, EMA Increasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Below 200 DEMA Expanding"
2022-09-30,ITC.NS,"Red Histogram, Price Below 200 EMA, MACD Expanding Above, EMA Decreasing, Green Supertrend, Price Below 200 DEMA, 200 EMA Below 200 DEMA Expanding"
2022-09-30,ADANIGREEN.NS,"Green Histogram, Price Above 200 EMA, MACD Parallel Above, EMA Increasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,ASIANPAINT.NS,"Green Histogram, Price Below 200 EMA, MACD Intersecting Below, EMA Decreasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Below 200 DEMA Intersecting"
2022-09-30,BAJAJFINSV.NS,"Red Histogram, Price Below 200 EMA, MACD Parallel Above, EMA Decreasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,ADANITRANS.NS,"Green Histogram, Price Below 200 EMA, MACD Intersecting Below, EMA Decreasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Above 200 DEMA Expanding"
2022-09-30,DMART.NS,"Green Histogram, Price Above 200 EMA, MACD Expanding Above, EMA Increasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,LT.NS,"Green Histogram, Price Above 200 EMA, MACD Parallel Above, EMA Decreasing, Red Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,ATGL.NS,"Green Histogram, Price Below 200 EMA, MACD Parallel Below, EMA Decreasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Above 200 DEMA Expanding"
2022-09-30,AXISBANK.NS,"Red Histogram, Price Below 200 EMA, MACD Parallel Above, EMA Decreasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,MARUTI.NS,"Green Histogram, Price Below 200 EMA, MACD Intersecting Above, EMA Decreasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,TITAN.NS,"Green Histogram, Price Below 200 EMA, MACD Intersecting Above, EMA Decreasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
2022-09-30,ADANIENT.NS,"Green Histogram, Price Below 200 EMA, MACD Parallel Below, EMA Decreasing, Red Supertrend, Price Below 200 DEMA, 200 EMA Above 200 DEMA Expanding"
2022-09-30,SUNPHARMA.NS,"Green Histogram, Price Above 200 EMA, MACD Parallel Above, EMA Increasing, Green Supertrend, Price Above 200 DEMA, 200 EMA Below 200 DEMA Expanding"
2022-09-30,ONGC.NS,"Red Histogram, Price Below 200 EMA, MACD Parallel Above, EMA Decreasing, Red Supertrend, Price Above 200 DEMA, 200 EMA Above 200 DEMA Intersecting"
